,ID,ncells,weight
0,CON9,11390,8.77963125548727e-05
1,CON3,11303,8.847208705653367e-05
2,CON4,10978,9.109127345600292e-05
3,CON19,8993,0.00011119759813188036
4,CON5,8771,0.00011401208528103979
5,CON1,8542,0.00011706860220088972
6,CON20,8310,0.00012033694344163658
7,CON11,7780,0.00012853470437017994
8,CON6,7583,0.00013187392852433074
9,CON15,7536,0.0001326963906581741
10,CON18,7474,0.0001337971635001338
11,CON8,7382,0.000135464643727987
12,CON21,7253,0.00013787398317937404
13,CON2,6249,0.00016002560409665546
14,CON13,6035,0.00016570008285004143
15,CON16,5114,0.00019554165037152912
16,CON12,4761,0.00021003990758244065
17,CON22,4663,0.0002144542140253056
18,CON10,3859,0.0002591344908007256
19,CON23,3032,0.00032981530343007914
20,CON14,2752,0.0003633720930232558
21,CON63,1765,0.0005665722379603399
22,CON24,1714,0.0005834305717619603
23,CON7,1610,0.0006211180124223603
24,CON57,1453,0.0006882312456985547
25,CON65,1400,0.0007142857142857143
26,CON28,1397,0.0007158196134574087
27,CON66,1391,0.0007189072609633358
28,CON25,1378,0.000725689404934688
29,CON30,1321,0.000757002271006813
30,CON60,1277,0.0007830853563038371
31,CON70,1217,0.0008216926869350862
32,CON74,1172,0.0008532423208191126
33,CON72,1106,0.0009041591320072332
34,CON29,1081,0.0009250693802035153
35,CON68,996,0.001004016064257028
36,CON73,970,0.0010309278350515464
37,CON54,963,0.0010384215991692627
38,CON35,963,0.0010384215991692627
39,CON59,950,0.0010526315789473684
40,CON26,917,0.0010905125408942203
41,CON67,894,0.0011185682326621924
42,CON38,837,0.0011947431302270011
43,CON37,798,0.0012531328320802004
44,CON55,750,0.0013333333333333333
45,CON61,699,0.001430615164520744
46,CON69,689,0.001451378809869376
47,CON52,687,0.001455604075691412
48,CON71,615,0.0016260162601626016
49,CON33,605,0.001652892561983471
50,CON41,601,0.0016638935108153079
51,CON42,566,0.0017667844522968198
52,CON53,514,0.0019455252918287938
53,CON34,486,0.00205761316872428
54,CON40,481,0.002079002079002079
55,CON62,480,0.0020833333333333333
56,CON45,448,0.002232142857142857
57,CON58,433,0.0023094688221709007
58,CON49,429,0.002331002331002331
59,CON36,428,0.002336448598130841
60,CON31,420,0.002380952380952381
61,CON44,416,0.002403846153846154
62,CON51,391,0.0025575447570332483
63,CON56,382,0.002617801047120419
64,CON27,353,0.0028328611898017
65,CON46,352,0.002840909090909091
66,CON17,323,0.0030959752321981426
67,CON64,274,0.0036496350364963502
68,CON75,271,0.0036900369003690036
